T_STAMP	Open	High	Low	Close	Volume	ClCl	MAX_RET	PCD	EMAC	SMAC	RSIC	EMA	SMA	SAR	BB_MID	RS	PC	HISTOGRAM	OBV	ROC	STOCH	RSI	WPR	MFI	CCI	ATR	ADX	ARN	STD	OSC	oEMAC	oSMAC	oRSEC	oRSIC	oSTC	oRSI	oWPR	oMFI	oPCZ	oADX	oARN	oOSC
1678108500	22399.88	22410	22387.01	22409.14	1585.4179	0.000437512891004799	0.687877410673699	40.0867381098184	1.29199504326854	4.10212467302667	42.5105960074367	1.8427280066098	1.39043167725796	9.64296456086361	2.86631395520294	0.897005790054594	-0.979934427498916	0.654974403712334	-19.8569312318816	7.61139853667103	14.6115902717043	10.2080262591838	83.5254237288116	-3.65961788802259	79.2585625839928	12.9636280218299	-13.1432381601147	36.6666666666667	12.838397047529	104.999967105067	-12.203083	0	53.3316	0	7.268911	16.591645	13.978947	15.360729	0	-9.026529	0	0
1678109400	22409.41	22458.12	22400.3	22453.09	3424.60747	0.00196125331003327	0.643844431334709	63.7001442271596	7.31790384671616	9.79605954104426	107.680160633932	6.8985917044759	6.30371617520867	13.6929896277819	11.2133997846687	5.15164239326173	3.27470217570825	1.6596940417003	-37.9238903414817	30.0677519861026	20.4464187604638	31.1256959832116	90.2443754848742	2.7636766049602	252.002460673883	13.8534823944958	18.2011379583608	23.3333333333333	17.0650354819439	105.249998355253	-7.755301	0	57.6495	0	17.553795	44.157695	90.244375	54.355572	0	8.936853	0	0
1678110300	22452	22487.99	22420.32	22439.77	3579.0492	-0.000593236832881372	0.446842728550939	63.9275503993461	9.56082025223842	13.694669903321	69.5251285488619	2.88047707722321	1.11685698544673	12.1199128025177	8.27129251546534	3.86306272408792	1.98612250653483	2.19006437401793	-6.0298969432109	17.8369366340903	14.1771376830526	21.860219296986	27.4832694187524	22.6155689061664	209.921554318931	15.0256038759418	24.4606856587466	26.6666666666667	19.1599905793298	105.262499917763	-4.692156	0	60.39795	0	21.424792	29.720691	27.483269	79.823074	0	8.988754	0	0
1678111200	22440.32	22444.58	22403.2	22416.52	2081.6041	-0.00103610687631828	0.506466866638998	57.9991304435404	8.2270888381866	13.7928732623949	14.1607183327708	-1.08114103298861	-3.86143018352414	9.44775694513328	3.6525067921213	1.61201886636063	-0.264921351192796	2.16203772124376	10.8409626566636	12.695126759148	-5.1079998887165	7.5718689301104	-7.48176554628219	19.5884595051288	80.6181026323177	15.2853604527062	26.3779503144797	26.6666666666667	19.4533774124189	5.26312499588813	-3.61951	0	60.90495	0	16.661152	8.622905	-7.481766	53.891099	0	8.945883	0	-18.1818181818182
1678112100	22416.89	22442.73	22415.45	22438.94	1434.05866	0.00100015524265129	0.610710315428076	64.1021088520399	9.81078182707792	10.8821859579328	48.5815594457169	2.17326622448735	1.39310231806612	11.2079755243755	7.56784496650408	3.78274303129324	1.90580281373995	2.50263659212626	1.10284183683735	21.8698488153102	-15.6270567613465	17.604626062389	26.2350552673098	20.1770298553732	99.9227449775774	15.047755782196	28.0213200193937	26.6666666666667	20.9694890912965	0.263156249794407	-0.992206	0	62.8357	0	6.996483	22.183253	26.235055	52.820456	0	8.90417	0	-18.1818181818182
1678113000	22438.94	22483.92	22415.06	22439.57	4735.1655	2.80761925475215e-05	0.510184527433112	64.070395166713	10.7646775311501	9.43058480481633	45.5555077294007	1.52999712765971	1.52794112064747	10.86877310414	7.19097772696457	3.84370885293429	1.96676863538131	2.74386678836562	-26.5939168513823	31.2615326086707	-13.5940942585115	17.8743902900122	27.1824949244284	38.7724406735998	118.419375388221	16.1644425409078	32.3396567930054	26.6666666666667	22.5367610583243	0.0131578124897203	1.439961	0	64.69565	0	2.862038	22.542143	27.182495	77.484234	0	9.047249	0	-9.09090909090909
1678113900	22439.57	22450.29	22408.41	22450	3117.93657	0.000464803915583012	0.507362663366538	63.9619141461178	12.4156079743278	12.0874806525913	56.8408515671183	2.36510848114537	1.38596551079595	11.4877544436062	8.82365240131078	4.85278323875827	2.97584302120454	3.0736053402953	-40.6506174753464	31.4212507262468	2.92585930489228	22.4038869076104	42.867884803367	22.8936201706142	77.5029722964472	16.3353509984086	34.7260883617619	26.6666666666667	24.7066062218185	0.000657890624486017	4.41454	0	67.1123	0	7.195474	28.599599	42.867885	47.909301	0	9.149328	0	-9.09090909090909
1678114800	22449.46	22479.64	22432.08	22456.33	3366.06385	0.000281959910913177	0.460668151447654	63.7824145073956	14.024617391563	11.9280825063952	60.8392216325018	2.39265180911456	1.48875297829236	11.7196630493468	9.48904093356649	5.46496510457882	3.58802488702539	3.39479475806152	-54.660684562742	36.6179030989855	10.1192362541367	25.1037124932802	52.3873975486886	39.5689819895788	118.259668641607	16.6770419008345	38.4493440716898	26.6666666666667	26.9664040752565	3.28945312243008e-05	7.577238	0	69.7924	0	8.699158	32.176304	52.387398	52.187943	0	9.370575	0	-9.09090909090909
1678115700	22457.13	22484.66	22432.07	22439.26	3001.57227	-0.00076014201786323	0.432350254916972	58.6348469450674	12.9295620590847	10.2363171540901	17.5403884032149	-0.606593430283684	-1.79376614641798	9.69770563475547	5.63502393119022	3.81371001174516	1.9367697941919	3.2904152437471	-28.0138516005668	19.9045877033832	4.21890623689035	13.6228164117972	25.5519058895374	34.8680870676734	101.245461900017	17.1716479844973	41.8870032858346	26.6666666666667	27.465836943374	1.64472656121504e-06	9.185328	0	70.64185	0	4.761849	14.926301	26.716294	23.070771	0	9.605984	0	-9.09090909090909
1678116600	22439.26	22474.96	22433.5	22472.54	1921.52885	0.00148311486207664	0.508751179851741	63.2571347261487	15.8328840755379	10.4236596598746	62.2358894412348	3.88561094429548	3.18924439346519	12.5544889360254	11.3402813466247	7.03186715600288	5.15492693844942	3.73711297154181	-32.2334387913612	31.8896510417765	4.35943804284373	27.5773272278632	73.01310043668	44.0148692165384	118.861211810354	17.2392870803464	44.8335683265301	26.6666666666667	29.8667638688897	8.22363280607521e-08	13.087894	0	73.47175	0	6.574817	33.676648	76.76517	16.586637	0	9.835031	0	-9.09090909090909
